Geneid	Chr	Start	End	Strand	Length	logFC.StageLate	logFC.StageMiddle	logCPM	F	PValue	FDR
6263	YPR049C	NC_001148.4	661137	664673	-	3537	-13.2280364809623	-13.1707099958887	6.92536096387422	3046.52990124201	4.83818588103006e-17	2.73557619537235e-16
4205	YLR260W	NC_001144.5	665844	667907	+	2064	-13.9283340681766	-14.1182374734425	5.9250742403802	3046.68017506215	4.84475998673963e-17	2.73557619537235e-16
685	YCR072C	NC_001135.5	240805	242352	-	1548	-16.6938432622666	-15.7847699911408	3.89077685365289	3072.60429976258	4.84580566738901e-17	2.73557619537235e-16
2430	YGR161W-C	NC_001139.9	810227	810505	+	279	-15.4205203365454	-14.1416896576402	5.0892165883021	3050.77155810546	4.84643561463827e-17	2.73557619537235e-16
2071	YGL179C	NC_001139.9	163409	165091	-	1683	-13.8306066860416	-14.1684724265557	6.00199369256813	3045.59076331027	4.85432531977804e-17	2.73727297961327e-16
1636	YER021W	NC_001137.3	196948	198519	+	1572	-11.0951345697466	-11.7487066326382	8.33674471394476	3043.30147773434	4.86293029850817e-17	2.73936927870737e-16
255	YBR033W	NC_001134.8	301944	304703	+	2760	-13.8906703629838	-13.6569050679674	5.96750144168281	3043.94275945119	4.87240827246552e-17	2.74195264730615e-16
1665	YER046W	NC_001137.3	243180	243611	+	432	-14.4971511482375	-14.8312738731556	5.12727669419777	3044.36236619998	4.88842476902448e-17	2.7438682268302e-16
1091	YDR120C	NC_001136.10	691549	693261	-	1713	-13.5635541879826	-13.5453207152204	6.31325737877721	3041.50003447463	4.88965951320914e-17	2.7438682268302e-16
898	YDL064W	NC_001136.10;NC_001136.10	337487;337635	337524;338070	+;+	474	-14.5975420473487	-15.2133911075194	4.82485976530143	3046.38102180969	4.89274369205108e-17	2.7438682268302e-16
2628	YHR001W	NC_001140.6	106055	107368	+	1314	-14.291971443346	-13.5250858504749	6.4683758759657	3041.12591669644	4.89539380344371e-17	2.7438682268302e-16
